"","Station_number","Year","Month","Day","Temp_min","Temp_max","Rainfall","Solar_exposure"
"119",9225,1994,5,25,12.2,19.8,6.6,10.7
"120",9225,1994,5,26,13.5,21.6,0.8,10.3
"121",9225,1994,5,27,11,23.6,0,11
"122",9225,1994,5,28,11.1,23.1,0,10
"123",9225,1994,5,30,11.1,17.2,15.2,10
"124",9225,1994,5,31,8.5,19.2,0.2,7.9
"125",9225,1994,6,1,12.2,18.4,5,6.1
"126",9225,1994,6,2,8.3,14.8,34.8,10.6
"127",9225,1994,6,3,7.5,14.6,2.2,8.1
"128",9225,1994,6,4,6.7,16,1,7.8
"129",9225,1994,6,5,4.6,18,4.4,11.2
"130",9225,1994,6,6,4.8,19.6,0,11.7
"131",9225,1994,6,7,10.6,20.5,5,7.7
"132",9225,1994,6,8,11.8,17,3.2,5.2
"133",9225,1994,6,10,4.8,19.2,0,11.5
"134",9225,1994,6,11,10.8,17.6,4.8,8.6
"135",9225,1994,6,12,8.9,16.8,0,8.3
"136",9225,1994,6,13,6.4,18.2,0.2,10.8
"137",9225,1994,6,14,7.8,18.7,0,11.8
"138",9225,1994,6,15,3.2,20.2,0,11.6
"139",9225,1994,6,16,4.8,22.8,0,11.1
"140",9225,1994,6,17,10.8,21.9,0,6.6
"141",9225,1994,6,18,10.2,21,5.8,5.1
"142",9225,1994,6,19,13.7,18.6,5,2.1
"143",9225,1994,6,21,10.3,14.8,22.4,8.4
"144",9225,1994,6,23,11,19.6,0.6,8.4
"145",9225,1994,6,25,6.3,17.6,6.6,11.5
"146",9225,1994,6,26,7.9,21.6,0.2,11.2
"147",9225,1994,6,27,11.3,18.1,22.2,7.2
"148",9225,1994,7,1,13,18.3,41.6,8.5
"149",9225,1994,7,2,13.8,19.4,1.4,6.4
"150",9225,1994,7,3,14.4,19.9,6,4.7
"151",9225,1994,7,4,14.3,20.8,6.8,8.4
"152",9225,1994,7,5,9.5,22.9,0,11.5
"153",9225,1994,7,6,13,20.1,10.6,10.8
"154",9225,1994,7,7,10.7,20.7,0.8,9.7
"155",9225,1994,7,8,13.4,15.4,8.2,3.3
"156",9225,1994,7,9,8.8,14,20.6,6.9
"157",9225,1994,7,10,6.2,13.6,11.6,7.8
"158",9225,1994,7,11,7.4,16.6,18.2,11.4
"159",9225,1994,7,12,5.1,16.7,0,7.9
"160",9225,1994,7,13,8.6,17,3.8,6
"161",9225,1994,7,14,11.9,18.4,2.2,9
"162",9225,1994,7,15,9.9,19.3,0,9.4
"163",9225,1994,7,16,13,19.7,3,8.9
"164",9225,1994,7,17,8.2,21.1,1.2,12
"165",9225,1994,7,18,8,21.9,0,12.6
"166",9225,1994,7,19,5.2,21.1,0.2,12.8
"167",9225,1994,7,20,5.1,21.1,0,12.7
"168",9225,1994,7,21,7.8,25.8,0,12.7
"169",9225,1994,7,22,14.3,20.9,8,10.2
"170",9225,1994,7,23,10.6,18.2,0.8,7.5
"171",9225,1994,7,24,10.6,16.4,19.6,12
"172",9225,1994,7,25,9.8,16.7,0,13.2
"173",9225,1994,7,26,5,17.5,0,13.4
"174",9225,1994,7,27,7.8,18,0,12.1
"175",9225,1994,7,28,11.4,19.3,0.8,12
"176",9225,1994,7,29,2.9,14.4,2,13.8
"177",9225,1994,7,30,3,15.2,0,13.6
"178",9225,1994,7,31,6.9,17,0,13.9
"179",9225,1994,8,1,3.6,21.7,0,14.1
"180",9225,1994,8,2,5.9,22.3,0,14.2
"181",9225,1994,8,3,7.8,21.3,0,12.4
"182",9225,1994,8,4,10.9,13.8,63.8,13
"183",9225,1994,8,5,3.9,16.7,3.6,14.6
"184",9225,1994,8,6,6.2,17.4,0,14
"185",9225,1994,8,8,7.1,18.9,0,14.5
"186",9225,1994,8,9,11.2,18.5,2.8,9.5
"187",9225,1994,8,10,13,21.8,31.6,14.7
"188",9225,1994,8,11,14,15.9,17.6,13.3
"189",9225,1994,8,12,8,16.6,4.6,15.4
"190",9225,1994,8,13,7.8,17.1,0,15.7
"191",9225,1994,8,14,6,19,0,15.8
"192",9225,1994,8,15,4.7,19.3,0,15.9
"193",9225,1994,8,17,5.2,20.5,0,16.1
"194",9225,1994,8,18,7.3,20.4,0,16.4
"195",9225,1994,8,19,7.7,20.4,0,16.8
"196",9225,1994,8,20,4.6,22.1,0,17
"197",9225,1994,8,21,6.6,20.3,0,16.4
"198",9225,1994,8,22,10.7,18.5,1.8,17.2
"199",9225,1994,8,23,5.4,20.6,0,17.2
"200",9225,1994,8,24,7,25.5,0,17.3
"201",9225,1994,8,25,10.2,26,0,17.5
"202",9225,1994,8,26,11.6,22.6,0,17.5
"203",9225,1994,8,27,12.2,19.7,0.2,14.5
"204",9225,1994,8,28,11.6,18.6,0,18
"205",9225,1994,8,29,10.7,17.5,0.4,16.8
"206",9225,1994,8,30,9,18.2,0,17.5
"207",9225,1994,8,31,9,17,37.8,15.1
"208",9225,1994,9,1,10.8,16.9,17,16.4
"209",9225,1994,9,2,9.2,17.4,1.2,17.8
"210",9225,1994,9,3,2.3,18.8,0.2,19
"211",9225,1994,9,4,4.6,20.7,0,19.7
"212",9225,1994,9,5,5.4,23.3,0,20
"213",9225,1994,9,6,9.2,21.4,0,15.7
"214",9225,1994,9,7,8.4,21.8,3.4,20
"215",9225,1994,9,8,7.8,24.7,0,20.3
"216",9225,1994,9,9,7.9,29.5,0,19.9
"217",9225,1994,9,10,16.3,18.7,0.2,3.6
"218",9225,1994,9,11,9.2,16.8,33.4,16.6
"219",9225,1994,9,12,4,19.3,0,19.3
"220",9225,1994,9,13,7.6,19.6,2,14.5
"221",9225,1994,9,14,10.4,19.2,0,16.8
"222",9225,1994,9,15,6.8,21.5,0,19.1
"223",9225,1994,9,16,12.7,25.4,0,17
"224",9225,1994,9,17,14.8,24.4,0,8.8
"225",9225,1994,9,18,12.7,21.7,0,19.2
"226",9225,1994,9,19,12.6,24.3,0,19.5
"227",9225,1994,9,20,15.8,30.7,0,19.4
"228",9225,1994,9,21,13.2,19.5,0,18
"229",9225,1994,9,22,9.6,20.3,0,19.8
"230",9225,1994,9,23,6.7,20.7,0,15.8
"231",9225,1994,9,24,10.8,21.6,0,20.3
"232",9225,1994,9,25,11.2,28.2,0,20.2
"233",9225,1994,9,26,11.1,20.5,0,11.7
"234",9225,1994,9,27,12.3,18.6,1.2,14.9
"235",9225,1994,9,28,12.4,19.1,0,13.6
"236",9225,1994,9,29,7,20,0,14
"237",9225,1994,9,30,11.6,19.1,20.6,16.6
"238",9225,1994,10,1,11,18.8,3.4,18.3
"239",9225,1994,10,2,12.4,19.7,0.4,15.3
"240",9225,1994,10,3,5,17.9,0.6,22.6
"241",9225,1994,10,4,4.6,18.6,0,20.2
